turn,total_drivers,min_speed,avg_speed,max_speed
241,80,0,2.0833333333333335,8
242,81,0,1.9166666666666667,8
243,81,0,1.8888888888888888,8
244,82,0,1.7945205479452055,7
245,82,0,1.7808219178082192,8
246,83,0,1.7837837837837838,7
247,82,0,1.6575342465753424,7
248,83,0,1.7733333333333334,8
249,84,0,1.84,8
250,84,0,1.868421052631579,9
251,84,0,1.837837837837838,7
252,84,0,1.855263157894737,7
253,84,0,1.9333333333333333,8
254,84,0,1.855263157894737,7
255,85,0,1.868421052631579,7
256,84,0,1.9605263157894737,7
257,86,0,1.868421052631579,8
258,85,0,1.7142857142857142,7
259,86,0,1.7564102564102564,6
260,88,0,1.858974358974359,7
261,86,0,1.8461538461538463,7
262,88,0,1.8354430379746836,7
263,86,0,1.6883116883116882,8
264,86,0,1.881578947368421,7
265,86,0,1.8181818181818181,8
266,86,0,1.858974358974359,7
267,86,0,1.87012987012987,8
268,86,0,1.9871794871794872,9
269,86,0,1.7820512820512822,8
270,88,0,1.8974358974358974,9
271,86,0,1.8205128205128205,8
272,86,0,1.7272727272727273,8
273,86,0,1.763157894736842,7
274,85,0,1.974025974025974,7
275,85,0,1.9733333333333334,8
276,85,0,1.9733333333333334,9
277,84,0,1.894736842105263,7
278,84,0,1.9473684210526316,8
279,83,0,1.986842105263158,7
280,85,0,1.9090909090909092,8
281,85,0,1.7532467532467533,8
282,86,0,1.9342105263157894,9
283,85,0,1.868421052631579,9
284,84,0,1.631578947368421,8
285,86,0,1.8026315789473684,9
286,84,0,1.631578947368421,8
287,86,0,1.9350649350649352,9
288,85,0,1.763157894736842,9
289,86,0,1.8051948051948052,7
290,87,0,1.9615384615384615,7
291,88,0,1.9873417721518987,8
292,88,0,2.0253164556962027,8
293,87,0,1.9493670886075949,7
294,89,0,1.8271604938271604,8
295,88,0,1.7341772151898733,9
296,88,0,1.6835443037974684,7
297,88,0,1.8354430379746836,8
298,88,0,1.6962025316455696,9
299,87,0,1.8101265822784811,8
300,87,0,1.876543209876543,6
301,90,0,2.0,7
302,90,0,1.8888888888888888,8
303,91,0,1.9146341463414633,8
304,89,0,1.8148148148148149,9
305,91,0,1.5975609756097562,8
306,90,0,1.7317073170731707,8
307,90,0,1.5802469135802468,9
308,90,0,1.7654320987654322,8
309,90,0,1.7195121951219512,9
310,92,0,1.7951807228915662,9
311,91,0,1.9156626506024097,8
312,92,0,1.869047619047619,7
313,93,0,1.7590361445783131,7
314,91,0,1.8433734939759037,8
315,91,0,1.9012345679012346,9
316,91,0,1.8795180722891567,9
317,93,0,1.7058823529411764,9
318,93,0,1.6666666666666667,9
319,93,0,1.802325581395349,10
320,94,0,1.7619047619047619,10
321,93,0,1.7228915662650603,10
322,92,0,1.7261904761904763,9
323,93,0,1.6265060240963856,9
324,90,0,1.6049382716049383,10
325,90,0,1.5679012345679013,8
326,89,0,1.575,8
327,89,0,1.5,9
328,90,0,1.65,10
329,88,0,1.5,10
330,87,0,1.5696202531645569,7
331,89,0,1.6329113924050633,8
332,88,0,1.6875,7
333,90,0,1.8024691358024691,8
334,90,0,1.75,9
335,89,0,1.8625,8
336,88,0,1.691358024691358,7
337,90,0,1.691358024691358,7
338,89,0,1.654320987654321,8
339,89,0,1.7160493827160495,9
340,90,0,1.5853658536585367,9
341,92,0,1.5595238095238095,6
342,93,0,1.6626506024096386,7
343,92,0,1.8095238095238095,8
344,93,0,1.8433734939759037,9
345,92,0,1.8795180722891567,9
346,91,0,1.8048780487804879,8
347,90,0,1.7349397590361446,9
348,91,0,1.6904761904761905,9
349,92,0,1.5903614457831325,8
350,92,0,1.8452380952380953,9
351,93,0,1.8095238095238095,8
352,92,0,1.8795180722891567,8
353,92,0,1.9523809523809523,9
354,92,0,1.9404761904761905,9
355,92,0,1.927710843373494,8
356,92,0,1.8433734939759037,8
357,92,0,1.7710843373493976,8
358,92,0,1.869047619047619,8
359,92,0,1.7469879518072289,9
360,91,0,1.5555555555555556,8
361,90,0,1.5308641975308641,8
362,91,0,1.6144578313253013,7
363,92,0,1.5714285714285714,8
364,92,0,1.670731707317073,9
365,91,0,1.6341463414634145,8
366,91,0,1.6585365853658536,8
367,90,0,1.6024096385542168,9
368,91,0,1.7108433734939759,8
369,91,0,1.7857142857142858,9
370,92,0,1.6385542168674698,7
371,93,0,1.630952380952381,8
372,92,0,1.7469879518072289,9
373,93,0,1.6470588235294117,8
374,94,0,1.5930232558139534,8
375,95,0,1.7011494252873562,9
376,95,0,1.6511627906976745,10
377,93,0,1.5,8
378,93,0,1.411764705882353,9
379,95,0,1.5172413793103448,10
380,96,0,1.5747126436781609,8
381,97,0,1.7045454545454546,7
382,96,0,1.5057471264367817,8
383,97,0,1.6477272727272727,9
384,98,0,1.6704545454545454,8
385,97,0,1.7272727272727273,9
386,96,0,1.5227272727272727,7
387,97,0,1.4659090909090908,7
388,97,0,1.5747126436781609,7
389,97,0,1.5393258426966292,8
390,97,0,1.5222222222222221,7
391,98,0,1.5730337078651686,8
